GEOIDFQ,cat4_mom_slosh_hightide_maximum,emergency_shelters_count,FEMA_SFHA_intersect,fire_stations_count,igtn_prob_test_maximum,n10_landslide_susc_maximum,onsite_sewage_disposal_count,police_stations_count,slrxa_3pt2ft_acres,staterf_inann_mean,wastewater_plants_count
1500000US150030102051,12.0,1,1,1,0.40000000596,81.0,339,1,129.604577745,78.6000082435,2
1500000US150030080011,12.0,1,1,1,0.839999973774,17.0,1,1,12.8055691376,27.831661733,1
1500000US150070408001,11.0,1,1,1,0.910000026226,81.0,64,1,122.055792763,35.431419399,1
1500000US150010202021,13.0,1,1,1,0.870000004768,81.0,210,1,1.23748429572,170.00046925,2
1500000US150010221021,9.0,1,0,1,0.97000002861,81.0,418,1,56.1030580613,145.636099405,1
1500000US150010220001,8.0,1,0,1,0.939999997616,81.0,476,1,3.44031815316,71.3413477973,1
1500000US150010203001,17.0,1,1,1,0.839999973774,74.0,309,1,0.150082697259,164.58758808,1
1500000US150010210131,11.0,2,1,1,0.829999983311,43.0,380,1,33.6425098205,134.090057244,1
1500000US150010211011,9.0,1,1,1,0.819999992847,81.0,447,1,201.093067176,99.7263958063,1
1500000US150010219021,9.0,1,1,1,0.949999988079,81.0,580,1,94.2778200353,81.8184645334,1
1500000US150010213003,11.0,1,1,2,0.939999997616,81.0,937,1,151.051419985,35.2722656643,1
1500000US150010218002,10.0,1,1,1,1.0,81.0,887,1,95.7701796339,35.9739147983,1
1500000US150090318012,9.0,2,1,1,0.860000014305,81.0,337,1,14.2214943641,34.9121612292,1
1500000US150090305012,10.0,1,1,1,0.829999983311,81.0,8,1,37.2028627284,33.6059887985,1
1500000US150090315031,9.0,1,1,1,0.920000016689,81.0,70,1,64.3024263234,21.9894223213,1
1500000US150090308001,12.0,1,1,1,0.850000023842,81.0,398,1,108.788699384,40.720209695,1
1500000US150090301001,10.0,1,1,1,0.850000023842,81.0,465,1,129.372601801,104.152882615,1
1500000US150090317002,14.0,1,1,1,0.910000026226,81.0,442,1,304.281340071,24.2788856119,1
1500000US150030080012,13.0,1,1,1,0.860000014305,60.0,5,1,2.05000175646,26.7448840671,1
1500000US150090307092,4.0,1,1,1,0.839999973774,45.0,90,1,8.04628036444,12.3974776701,1
1500000US150090307101,9.0,1,1,1,0.879999995232,37.0,88,1,17.5921413345,12.4657782714,1
1500000US150090307091,11.0,1,1,1,0.889999985695,52.0,16,1,46.9592322816,11.9553731283,1
1500000US150010215104,10.0,1,1,1,0.829999983311,81.0,10,1,22.1995427293,33.9049309508,2
1500000US150010216081,11.0,1,1,1,0.759999990463,40.0,31,1,21.6740849229,28.4411777496,1
1500000US150010215103,10.0,1,1,1,0.899999976158,81.0,36,1,3.19304364584,37.2711448669,1
1500000US150010211081,9.0,1,1,1,0.839999973774,81.0,835,1,41.3862668684,111.262779619,1
1500000US150010212041,9.0,1,1,1,0.910000026226,81.0,118,1,5.61244355696,31.9129348572,1
1500000US150010211082,9.0,1,1,2,0.829999983311,48.0,1049,1,31.7918622918,129.829195039,1
1500000US150010217081,17.0,1,1,1,1.0,81.0,306,1,273.344206516,13.7737251393,3
1500000US150010216052,11.0,1,1,1,0.740000009537,50.0,10,1,14.7300656166,27.3219799715,1
1500000US150010212034,9.0,1,1,2,0.850000023842,81.0,133,1,41.9220098927,54.8353917389,1
1500000US150010212043,9.0,1,1,1,0.930000007153,81.0,676,1,5.11896300602,41.1257610152,1
1500000US150010212031,9.0,1,1,3,0.910000026226,81.0,398,1,58.9226399413,66.1668422754,1
1500000US150010216053,10.0,1,1,1,0.819999992847,80.0,130,1,18.4908807794,36.2118089232,1
1500000US150010211071,8.0,2,1,1,0.850000023842,81.0,505,1,3.48855076656,124.46924337,1
1500000US150010215131,12.0,1,1,2,0.980000019073,81.0,553,1,124.46539852,18.396333138,6
1500000US150010210151,9.0,1,1,1,0.819999992847,26.0,908,1,12.6204652264,128.252063108,1
1500000US150010210143,9.0,1,1,1,0.819999992847,24.0,1008,1,8.9731754663,129.462877015,1
1500000US150010211013,8.0,1,1,1,0.850000023842,81.0,613,1,121.335476841,103.342360963,1
1500000US150090307082,10.0,1,1,1,0.879999995232,0.0,4,1,38.5915977328,11.3638347279,1
1500000US150090309033,11.0,1,1,1,0.910000026226,79.0,43,1,27.3411700207,21.6201262223,1
1500000US150090315011,8.0,1,1,1,0.829999983311,45.0,167,1,1.02841761655,35.8119041443,1
1500000US150090315012,8.0,1,1,1,0.879999995232,74.0,66,1,56.903895669,39.9274614935,1
1500000US150090314043,11.0,1,1,1,0.889999985695,0.0,3,1,31.2801766534,13.066590896,1
1500000US150090314041,10.0,1,1,1,0.889999985695,0.0,1,1,17.3911460612,12.6338479042,1
1500000US150090314042,10.0,1,1,1,0.870000004768,0.0,3,1,49.919607584,11.8970667521,1
1500000US150090314022,9.0,1,1,1,0.910000026226,21.0,43,1,24.195093233,14.1173307101,1
1500000US150090316011,10.0,1,1,1,0.920000016689,81.0,1,1,57.1148224242,22.9660353752,3
1500000US150090317003,13.0,1,1,1,0.899999976158,71.0,46,1,99.705342462,12.8078062611,1
1500000US150070401041,10.0,1,1,1,0.829999983311,81.0,346,1,279.557362835,93.608506004,2
1500000US150070402052,14.0,1,1,1,0.439999997616,81.0,333,1,51.0965542712,57.1977957317,1
1500000US150070406031,11.0,1,1,1,0.920000016689,66.0,222,1,58.80612688,35.7418454114,9
1500000US150090317005,13.0,1,1,1,0.889999985695,71.0,218,1,41.6823586947,13.3632259884,2
1500000US150090317004,12.0,1,1,1,0.870000004768,81.0,1,1,4.05039157928,17.3662137727,1
1500000US150070409003,14.0,1,1,1,0.949999988079,21.0,54,1,46.2869857108,20.2188105234,1
