GEOIDFQ,cat4_mom_slosh_hightide_maximum,emergency_shelters_count,FEMA_SFHA_intersect,igtn_prob_test_maximum,n10_landslide_susc_maximum,slrxa_3pt2ft_acres,slrxa_3pt2ft_intersect,slrxa_3pt2ft_pct,staterf_inann_mean
1500000US150010201002,9.0,1,0,0.759999990463,81.0,10.3463336773,1,0.260461,163.873453542
1500000US150010201003,14.0,1,0,0.77999997139,81.0,51.8822253066,1,0.496974,172.082143344
1500000US150010201004,10.0,1,0,0.740000009537,81.0,11.5067574261,1,0.816527,151.644548222
1500000US150010202021,14.0,2,1,0.870000004768,81.0,1.05829730534,1,0.00764215,170.110687247
1500000US150010202022,13.0,1,1,0.769999980927,80.0,3.92859713221,1,0.444256,151.650893893
1500000US150010203001,17.0,3,1,0.839999973774,74.0,0.191127087328,1,0.0448044,164.206399326
1500000US150010203002,19.0,1,1,0.72000002861,75.0,6.31542840402,1,7.82946,144.807830811
1500000US150010203003,18.0,2,1,0.790000021458,74.0,1.8181620198,1,0.576712,146.983680362
1500000US150010204003,21.0,1,1,0.800000011921,26.0,34.4223185321,1,8.50411,141.098942096
1500000US150010205001,17.0,1,1,0.77999997139,0.0,32.7401979309,1,9.88766,135.796904714
1500000US150010206001,14.0,1,1,0.829999983311,13.0,154.704684622,1,8.66938,129.101178465
1500000US150010206002,8.0,1,1,0.810000002384,35.0,,0,,133.691039332
1500000US150010206003,7.0,1,1,0.790000021458,18.0,31.348412859,1,5.521,129.611833845
1500000US150010210131,11.0,3,1,0.829999983311,43.0,24.9289747476,1,0.35948,134.416234162
1500000US150010210143,9.0,1,1,0.819999992847,23.0,6.76276479061,1,0.27384,129.531043148
1500000US150010210151,9.0,1,1,0.819999992847,26.0,8.57878549774,1,0.330657,128.470465891
1500000US150010211011,9.0,1,1,0.819999992847,81.0,170.490077896,1,2.16017,100.156311302
1500000US150010211013,8.0,1,1,0.850000023842,81.0,56.9271816409,1,0.7074,104.315653799
1500000US150010211071,8.0,2,1,0.850000023842,81.0,1.15664410092,1,0.00770283,124.768762649
1500000US150010211081,9.0,1,1,0.839999973774,81.0,43.4423265359,1,0.662439,111.649257732
1500000US150010211082,9.0,1,1,0.829999983311,43.0,25.0567880811,1,0.479453,130.240188845
1500000US150010212031,9.0,1,1,0.910000026226,81.0,27.9586472773,1,0.228036,66.4265093168
1500000US150010212034,9.0,1,1,0.850000023842,81.0,31.1370670356,1,0.34548,55.0799652537
1500000US150010212041,9.0,1,1,0.910000026226,81.0,5.52573707124,1,0.158018,32.1057514719
1500000US150010212043,9.0,1,1,0.930000007153,81.0,0.728181385631,1,0.00829566,41.3493408075
1500000US150010213003,11.0,1,1,0.939999997616,81.0,108.229817825,1,0.786921,35.853100505
1500000US150010214021,9.0,1,1,0.939999997616,81.0,5.41744374772,1,0.205151,40.3807803385
