GEO_ID,NAME,B27010_001E,B27010_004E,B27010_007E,B27010_013E,B27010_017E,B27010_022E,B27010_023E,B27010_029E,B27010_033E,B27010_038E,B27010_039E,B27010_044E,B27010_045E,B27010_046E,B27010_055E,B27010_060E,B27010_061E,B27010_062E,state
0400000US01,Alabama,4969866,504183,484524,2969,42109,4188,90754,5995,185884,59854,113074,14778,9487,48029,267771,155409,135681,65867,01
0400000US02,Alaska,704133,68910,58581,227,15391,295,23691,981,30440,2131,33581,894,130,3349,22503,27088,7187,9319,02
0400000US04,Arizona,7154961,777697,534338,4180,148548,3710,247801,5650,267849,38328,302614,9168,4985,36510,483776,172162,249520,100792,04
0400000US05,Arkansas,2977706,271641,342359,2211,43057,3123,118739,5099,98703,34796,140485,6164,4820,35322,176833,57353,104005,40236,05
0400000US06,California,38761738,4182025,3439822,29288,310351,33307,1871729,34943,951677,167052,2391047,42163,18229,220228,1942742,1008097,774730,911742,06
0400000US08,Colorado,5713803,665590,373833,2116,65144,3255,181241,4138,161554,22138,212693,5349,3254,27727,320914,122616,153562,53474,08
0400000US09,Connecticut,3555703,424263,245808,1768,22827,2263,137226,3748,65697,17631,183239,6020,2374,25011,203809,125987,99130,61420,09
0400000US10,Delaware,992298,110574,73467,530,8744,484,32314,952,22499,6289,41327,2029,756,7339,52386,46578,36473,8854,10
0400000US11,District of Columbia,663014,59469,51136,432,3596,261,30286,900,8795,1703,39867,682,197,4592,15087,21874,8527,13241,11
0400000US12,Florida,21591588,1812036,1639352,11359,337916,13954,407090,18047,897597,152487,520236,27960,19740,137932,1757058,560069,725362,431221,12
0400000US13,Georgia,10627519,1148572,961360,7855,185515,8071,189076,9926,502942,75713,208049,17929,8910,69169,528073,251459,224095,136472,13
0400000US15,Hawaii,1386108,136441,90081,317,9329,607,39451,757,18288,5202,57568,2792,1243,4804,63420,86444,34742,17860,15
0400000US16,Idaho,1866785,240511,143942,1040,29963,914,45988,2059,61050,9556,51604,2756,2507,12107,103315,32123,78799,15665,16
0400000US17,Illinois,12522498,1599678,953714,7213,100204,8917,396274,9957,309713,73112,505353,20614,10795,71981,675210,357034,432465,147978,17
0400000US18,Indiana,6714911,882020,511446,5253,103091,4000,209247,7856,179138,46715,251017,13728,7666,57104,363205,165327,254544,62392,18
0400000US19,Iowa,3149616,416899,234320,1590,24590,1240,95605,3815,58197,14567,112668,4229,2980,24857,159930,61186,177530,27689,19
0400000US20,Kansas,2875799,396070,193230,1099,39313,1214,40406,2954,94137,15780,43232,3840,3961,16907,145824,54979,134027,20826,20
0400000US21,Kentucky,4429333,464311,431508,3210,44751,3761,207487,7125,94766,53814,280339,10474,6931,49710,226061,134614,146148,58158,21
0400000US22,Louisiana,4523071,418973,536066,2667,52445,4302,242068,7844,133551,38568,279570,7904,5080,56220,250588,120858,104932,82010,22
0400000US23,Maine,1359807,138269,74404,289,12303,785,36044,2343,30841,8350,53749,2319,1560,18342,88639,44456,56619,25007,23
0400000US24,Maryland,6079418,752041,427519,7749,61305,5120,185415,6998,126481,28327,237595,12763,3583,34943,215583,274442,141034,63413,24
0400000US25,Massachusetts,6926890,829283,410892,4047,22702,3941,267547,8883,72954,22949,400235,8263,4715,60537,296235,243269,224265,126883,25
0400000US26,Michigan,9944298,1198718,727686,5184,67412,5394,400874,13599,192059,65725,493552,29707,13486,97655,429526,489821,339510,118980,26
0400000US27,Minnesota,5652888,814565,357973,1836,44425,3150,174504,5243,93507,24261,228578,6691,8752,28770,225371,111726,329393,42649,27
0400000US28,Mississippi,2884445,261764,331819,2676,43581,2607,67600,4954,131250,28619,80974,5062,4508,41036,157410,51569,95082,59184,28
0400000US29,Missouri,6062789,750742,429121,2956,89706,4687,105172,7218,204457,55878,138015,12565,10572,49379,395026,148430,212103,55078,29
0400000US30,Montana,1088176,104714,87921,430,16810,663,38964,1354,29885,6124,45834,1334,1346,7072,68830,23263,54890,10370,30
0400000US31,Nebraska,1937542,281021,127043,763,25277,1109,32571,2139,52971,8433,36925,2580,1698,12070,101093,30453,87014,15325,31
0400000US32,Nevada,3103042,339362,223410,1494,57060,2109,95345,2411,118519,19894,123368,4587,1818,16427,208421,65791,70622,39195,32
0400000US33,New Hampshire,1371503,167737,63963,579,9732,1246,27461,1720,27754,11931,36715,3308,2013,8188,78207,50396,60166,9265,33
0400000US34,New Jersey,9174408,1200129,621071,4726,87791,5377,258996,6946,229225,50258,340920,16203,6766,45047,476508,351032,250402,125016,34
0400000US35,New Mexico,2077871,148117,252018,1789,27323,1260,130292,2981,68713,14756,145496,4282,1232,23403,127236,66091,50704,43082,35
0400000US36,New York,19674246,1997382,1572500,10697,110648,12520,946963,21785,363169,90988,1339968,39609,17102,161875,935512,796242,435645,480168,36
0400000US37,North Carolina,10366704,1041825,904560,5397,136360,6211,233299,10782,382358,79691,229263,19168,13631,81096,576782,274551,336928,116572,37
0400000US38,North Dakota,761569,117223,32001,226,12410,284,14112,557,18318,2790,16053,778,1078,3653,29583,14031,40422,4930,38
0400000US39,Ohio,11612784,1451292,865782,8105,130648,7610,424642,13160,269201,89222,536410,24013,11530,93628,693047,360818,401417,122723,39
0400000US40,Oklahoma,3906785,380263,395350,3962,84312,4281,89162,4621,197130,39245,97279,7690,5688,28675,191843,95295,130627,33808,40
0400000US41,Oregon,4196946,454279,306839,1833,28911,2084,167585,4975,97777,23971,213771,5275,5003,30463,254044,104158,178571,56080,41
0400000US42,Pennsylvania,12800535,1440657,868706,7486,140142,7146,407316,14346,249345,79026,520829,24110,18089,105989,683569,425776,582395,165367,42
0400000US44,Rhode Island,1078696,117847,62518,913,6369,596,41207,2254,17947,7021,53357,1991,951,10978,59872,28454,36910,18243,44
0400000US45,South Carolina,5113158,486949,460848,2762,66110,3122,115058,4811,186150,44483,127391,11000,7201,42679,294250,152913,175237,65854,45
0400000US46,South Dakota,879723,119211,55960,153,16578,460,11145,871,30610,4928,12434,868,972,5165,49727,12679,42640,7023,46
0400000US47,Tennessee,6888125,724358,570752,4321,92146,4280,172978,7252,252384,54804,199707,12332,8538,58899,395039,153169,233282,82927,47
0400000US48,Texas,29157945,3343312,2630051,16472,934384,16209,436462,19982,1816985,159548,451256,29815,16442,144125,1388679,574286,552261,348261,48
0400000US49,Utah,3304468,625141,136170,924,69806,1342,44938,2505,101672,9759,50665,3373,1200,12680,134101,59888,77405,19625,49
0400000US50,Vermont,639109,61326,46871,310,2605,575,25129,1493,9058,4175,34589,774,671,7664,36990,23664,29972,8719,50
0400000US51,Virginia,8429141,1036174,506691,4892,93609,6484,196539,6175,209382,58926,245718,15009,8016,38934,395995,256235,249205,68362,51
0400000US53,Washington,7623297,869021,577460,2864,52983,3925,254086,7861,182922,36041,298192,9426,6554,45638,371031,198488,255001,84778,53
0400000US54,West Virginia,1750730,167618,157360,733,11266,1325,75121,2853,39985,20122,108781,8617,2704,21520,99192,85288,56607,24721,54
0400000US55,Wisconsin,5828067,781149,347905,3251,54361,2776,151286,7359,113895,28129,193053,8367,6554,45564,328213,135634,290752,61861,55
0400000US56,Wyoming,569723,77850,29095,169,13024,193,7060,370,23288,3265,7682,1071,650,3145,33202,12994,25920,4804,56
0400000US72,Puerto Rico,3227627,137287,339383,1365,16791,6915,319264,4283,73715,54818,434704,4415,6251,60597,273479,49909,60809,258857,72
