GEO_ID,NAME,B27010_001E,B27010_002E,B27010_018E,B27010_034E,B27010_051E,B27010_007E,B27010_013E,B27010_023E,B27010_029E,B27010_039E,B27010_046E,B27010_062E,state
0400000US01,Alabama,4969866,1198489,1034964,1876041,860372,484524,2969,90754,5995,113074,48029,65867,01
0400000US02,Alaska,704133,186883,153813,267264,96173,58581,227,23691,981,33581,3349,9319,02
0400000US04,Arizona,7154961,1693196,1536341,2594976,1330448,534338,4180,247801,5650,302614,36510,100792,04
0400000US05,Arkansas,2977706,747048,617390,1104146,509122,342359,2211,118739,5099,140485,35322,40236,05
0400000US06,California,38761738,9258010,8665985,14947878,5889865,3439822,29288,1871729,34943,2391047,220228,911742,06
0400000US08,Colorado,5713803,1314676,1318137,2216979,864011,373833,2116,181241,4138,212693,27727,53474,08
0400000US09,Connecticut,3555703,781434,721181,1420026,633062,245808,1768,137226,3748,183239,25011,61420,09
0400000US10,Delaware,992298,224585,194327,376133,197253,73467,530,32314,952,41327,7339,8854,10
0400000US11,District of Columbia,663014,133962,200474,245351,83227,51136,432,30286,900,39867,4592,13241,11
0400000US12,Florida,21591588,4561958,4182007,8318780,4528843,1639352,11359,407090,18047,520236,137932,431221,12
0400000US13,Georgia,10627519,2695196,2276221,4109829,1546273,961360,7855,189076,9926,208049,69169,136472,13
0400000US15,Hawaii,1386108,315590,257778,529714,283026,90081,317,39451,757,57568,4804,17860,15
0400000US16,Idaho,1866785,495062,389349,675857,306517,143942,1040,45988,2059,51604,12107,15665,16
0400000US17,Illinois,12522498,2977143,2651093,4856179,2038083,953714,7213,396274,9957,505353,71981,147978,17
0400000US18,Indiana,6714911,1691457,1429732,2518053,1075669,511446,5253,209247,7856,251017,57104,62392,18
0400000US19,Iowa,3149616,781514,660359,1164356,543387,234320,1590,95605,3815,112668,24857,27689,19
0400000US20,Kansas,2875799,746981,608933,1051351,468534,193230,1099,40406,2954,43232,16907,20826,20
0400000US21,Kentucky,4429333,1076468,916580,1690652,745633,431508,3210,207487,7125,280339,49710,58158,21
0400000US22,Louisiana,4523071,1147226,950319,1692235,733291,536066,2667,242068,7844,279570,56220,82010,22
0400000US23,Maine,1359807,268432,254941,545273,291161,74404,289,36044,2343,53749,18342,25007,23
0400000US24,Maryland,6079418,1455929,1225688,2418558,979243,427519,7749,185415,6998,237595,34943,63413,24
0400000US25,Massachusetts,6926890,1468854,1548008,2723352,1186676,410892,4047,267547,8883,400235,60537,126883,25
0400000US26,Michigan,9944298,2284297,2087278,3787108,1785615,727686,5184,400874,13599,493552,97655,118980,26
0400000US27,Minnesota,5652888,1392934,1162443,2169615,927896,357973,1836,174504,5243,228578,28770,42649,27
0400000US28,Mississippi,2884445,735312,593857,1076727,478549,331819,2676,67600,4954,80974,41036,59184,28
0400000US29,Missouri,6062789,1462869,1265116,2291539,1043265,429121,2956,105172,7218,138015,49379,55078,29
0400000US30,Montana,1088176,247872,222953,405095,212256,87921,430,38964,1354,45834,7072,10370,30
0400000US31,Nebraska,1937542,512364,407302,706158,311718,127043,763,32571,2139,36925,12070,15325,31
0400000US32,Nevada,3103042,727795,652347,1205054,517846,223410,1494,95345,2411,123368,16427,39195,32
0400000US33,New Hampshire,1371503,274146,276857,558651,261849,63963,579,27461,1720,36715,8188,9265,33
0400000US34,New Jersey,9174408,2146968,1825611,3678277,1523552,621071,4726,258996,6946,340920,45047,125016,34
0400000US35,New Mexico,2077871,494770,428788,761970,392343,252018,1789,130292,2981,145496,23403,43082,35
0400000US36,New York,19674246,4364035,4297417,7641388,3371406,1572500,10697,946963,21785,1339968,161875,480168,36
0400000US37,North Carolina,10366704,2467875,2157167,3995666,1745996,904560,5397,233299,10782,229263,81096,116572,37
0400000US38,North Dakota,761569,195789,178916,267572,119292,32001,226,14112,557,16053,3653,4930,38
0400000US39,Ohio,11612784,2765513,2401654,4414287,2031330,865782,8105,424642,13160,536410,93628,122723,39
0400000US40,Oklahoma,3906785,1017131,839354,1427741,622559,395350,3962,89162,4621,97279,28675,33808,40
0400000US41,Oregon,4196946,907791,891131,1621074,776950,306839,1833,167585,4975,213771,30463,56080,41
0400000US42,Pennsylvania,12800535,2853324,2631063,4921674,2394474,868706,7486,407316,14346,520829,105989,165367,42
0400000US44,Rhode Island,1078696,225669,240404,420279,192344,62518,913,41207,2254,53357,10978,18243,44
0400000US45,South Carolina,5113158,1196440,1027709,1945510,943499,460848,2762,115058,4811,127391,42679,65854,45
0400000US46,South Dakota,879723,230860,179676,318661,150526,55960,153,11145,871,12434,5165,7023,46
0400000US47,Tennessee,6888125,1641875,1465897,2633870,1146483,570752,4321,172978,7252,199707,58899,82927,47
0400000US48,Texas,29157945,7893408,6531297,10916891,3816349,2630051,16472,436462,19982,451256,144125,348261,48
0400000US49,Utah,3304468,1000035,804765,1117585,382083,136170,924,44938,2505,50665,12680,19625,49
0400000US50,Vermont,639109,127682,130002,250548,130877,46871,310,25129,1493,34589,7664,8719,50
0400000US51,Virginia,8429141,2015625,1744012,3291193,1378311,506691,4892,196539,6175,245718,38934,68362,51
0400000US53,Washington,7623297,1767739,1675765,2943909,1235884,577460,2864,254086,7861,298192,45638,84778,53
0400000US54,West Virginia,1750730,382520,335000,673664,359546,157360,733,75121,2853,108781,21520,24721,54
0400000US55,Wisconsin,5828067,1355063,1187825,2250156,1035023,347905,3251,151286,7359,193053,45564,61861,55
0400000US56,Wyoming,569723,140004,113687,214273,101759,29095,169,7060,370,7682,3145,4804,56
0400000US72,Puerto Rico,3227627,584840,677420,1234128,731239,339383,1365,319264,4283,434704,60597,258857,72
