GEO_ID,NAME,B27010_001E,B27010_004E,B27010_007E,B27010_008E,B27010_009E,B27010_017E,state,county,tract,block group,GEO_ID_2
1500000US150010201001,Block Group 1; Census Tract 201; Hawaii County; Hawaii,1462,105,225,0,0,0,15,001,020100,1,1500000US150010201001
1500000US150010201002,Block Group 2; Census Tract 201; Hawaii County; Hawaii,602,57,23,0,0,7,15,001,020100,2,1500000US150010201002
1500000US150010201003,Block Group 3; Census Tract 201; Hawaii County; Hawaii,1335,136,48,0,0,0,15,001,020100,3,1500000US150010201003
1500000US150010201004,Block Group 4; Census Tract 201; Hawaii County; Hawaii,1060,54,177,0,0,0,15,001,020100,4,1500000US150010201004
1500000US150010202021,Block Group 1; Census Tract 202.02; Hawaii County; Hawaii,775,53,46,0,0,0,15,001,020202,1,1500000US150010202021
1500000US150010202022,Block Group 2; Census Tract 202.02; Hawaii County; Hawaii,1020,63,114,0,0,0,15,001,020202,2,1500000US150010202022
1500000US150010203001,Block Group 1; Census Tract 203; Hawaii County; Hawaii,1176,89,59,0,0,22,15,001,020300,1,1500000US150010203001
1500000US150010203002,Block Group 2; Census Tract 203; Hawaii County; Hawaii,1149,12,408,0,0,0,15,001,020300,2,1500000US150010203002
1500000US150010203003,Block Group 3; Census Tract 203; Hawaii County; Hawaii,1654,37,193,0,0,0,15,001,020300,3,1500000US150010203003
1500000US150010204001,Block Group 1; Census Tract 204; Hawaii County; Hawaii,1304,0,409,0,0,0,15,001,020400,1,1500000US150010204001
1500000US150010204002,Block Group 2; Census Tract 204; Hawaii County; Hawaii,858,99,168,0,0,0,15,001,020400,2,1500000US150010204002
1500000US150010204003,Block Group 3; Census Tract 204; Hawaii County; Hawaii,1236,4,101,3,0,0,15,001,020400,3,1500000US150010204003
1500000US150010205001,Block Group 1; Census Tract 205; Hawaii County; Hawaii,1234,0,101,0,0,23,15,001,020500,1,1500000US150010205001
1500000US150010205002,Block Group 2; Census Tract 205; Hawaii County; Hawaii,1193,47,286,0,0,109,15,001,020500,2,1500000US150010205002
1500000US150010205003,Block Group 3; Census Tract 205; Hawaii County; Hawaii,1801,178,484,0,0,13,15,001,020500,3,1500000US150010205003
1500000US150010205004,Block Group 4; Census Tract 205; Hawaii County; Hawaii,1270,0,123,0,0,0,15,001,020500,4,1500000US150010205004
1500000US150010206001,Block Group 1; Census Tract 206; Hawaii County; Hawaii,867,19,36,66,0,0,15,001,020600,1,1500000US150010206001
1500000US150010206002,Block Group 2; Census Tract 206; Hawaii County; Hawaii,982,126,75,25,0,10,15,001,020600,2,1500000US150010206002
1500000US150010206003,Block Group 3; Census Tract 206; Hawaii County; Hawaii,1955,149,338,0,0,7,15,001,020600,3,1500000US150010206003
1500000US150010206004,Block Group 4; Census Tract 206; Hawaii County; Hawaii,2989,166,336,54,0,8,15,001,020600,4,1500000US150010206004
1500000US150010207011,Block Group 1; Census Tract 207.01; Hawaii County; Hawaii,2597,238,267,0,0,0,15,001,020701,1,1500000US150010207011
1500000US150010207012,Block Group 2; Census Tract 207.01; Hawaii County; Hawaii,1178,16,103,0,0,16,15,001,020701,2,1500000US150010207012
