GEO_ID,NAME,S2704_C03_001E,S2704_C03_006E,S2704_C03_002E,S2704_C03_010E,state,county
0500000US01123,"Tallapoosa County, Alabama",45.4,22.6,27.7,2.6,01,123
0500000US01125,"Tuscaloosa County, Alabama",31.7,17.6,16.0,2.1,01,125
0500000US01127,"Walker County, Alabama",40.0,21.7,24.3,2.4,01,127
0500000US01129,"Washington County, Alabama",41.2,20.9,23.7,1.1,01,129
0500000US01131,"Wilcox County, Alabama",57.5,38.1,27.3,1.7,01,131
0500000US01133,"Winston County, Alabama",47.8,28.6,24.7,1.5,01,133
0500000US02013,"Aleutians East Borough, Alaska",27.2,16.1,12.2,2.2,02,013
0500000US02016,"Aleutians West Census Area, Alaska",17.3,12.0,5.3,1.0,02,016
0500000US02020,"Anchorage Municipality, Alaska",34.0,20.2,13.5,4.9,02,020
0500000US02050,"Bethel Census Area, Alaska",65.5,60.7,8.1,1.1,02,050
0500000US02060,"Bristol Bay Borough, Alaska",30.4,17.6,15.6,2.1,02,060
0500000US02063,"Chugach Census Area, Alaska",34.4,19.5,13.5,4.8,02,063
0500000US02066,"Copper River Census Area, Alaska",44.7,23.0,22.9,6.6,02,066
0500000US02068,"Denali Borough, Alaska",20.9,6.8,14.0,4.3,02,068
0500000US02070,"Dillingham Census Area, Alaska",55.2,47.7,11.3,0.6,02,070
0500000US02090,"Fairbanks North Star Borough, Alaska",30.9,16.5,13.7,4.8,02,090
0500000US02100,"Haines Borough, Alaska",42.6,21.6,24.7,3.9,02,100
0500000US02105,"Hoonah-Angoon Census Area, Alaska",46.7,23.5,25.6,3.2,02,105
0500000US02110,"Juneau City and Borough, Alaska",32.3,18.0,16.7,2.5,02,110
0500000US02122,"Kenai Peninsula Borough, Alaska",43.3,25.0,20.7,4.3,02,122
0500000US02130,"Ketchikan Gateway Borough, Alaska",36.7,20.3,18.3,2.6,02,130
0500000US02150,"Kodiak Island Borough, Alaska",37.5,24.7,13.2,3.9,02,150
0500000US02158,"Kusilvak Census Area, Alaska",75.7,72.2,7.6,0.5,02,158
0500000US02164,"Lake and Peninsula Borough, Alaska",44.4,36.4,10.1,2.1,02,164
0500000US02170,"Matanuska-Susitna Borough, Alaska",37.8,22.4,15.3,5.6,02,170
0500000US02180,"Nome Census Area, Alaska",51.9,46.5,8.5,1.0,02,180
0500000US02185,"North Slope Borough, Alaska",26.1,19.6,7.6,2.1,02,185
0500000US02188,"Northwest Arctic Borough, Alaska",52.2,47.4,7.7,1.2,02,188
0500000US02195,"Petersburg Borough, Alaska",43.3,21.4,22.8,1.7,02,195
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",51.5,32.7,21.2,3.6,02,198
0500000US02220,"Sitka City and Borough, Alaska",31.4,13.2,19.1,2.9,02,220
0500000US02230,"Skagway Municipality, Alaska",31.6,14.0,18.4,1.5,02,230
0500000US02240,"Southeast Fairbanks Census Area, Alaska",45.3,29.9,16.5,4.5,02,240
0500000US02275,"Wrangell City and Borough, Alaska",45.4,23.7,25.2,3.5,02,275
0500000US02282,"Yakutat City and Borough, Alaska",38.1,13.6,26.3,6.6,02,282
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",49.8,37.9,16.7,2.4,02,290
0500000US04001,"Apache County, Arizona",54.0,42.9,17.7,1.7,04,001
0500000US04003,"Cochise County, Arizona",52.8,27.1,27.4,7.8,04,003
0500000US04005,"Coconino County, Arizona",35.3,21.9,15.2,2.4,04,005
0500000US04007,"Gila County, Arizona",56.5,27.5,33.0,4.9,04,007
0500000US04009,"Graham County, Arizona",44.1,29.3,17.9,2.5,04,009
0500000US04011,"Greenlee County, Arizona",25.9,10.9,15.6,3.2,04,011
0500000US04012,"La Paz County, Arizona",60.9,23.1,43.8,5.9,04,012
0500000US04013,"Maricopa County, Arizona",33.3,18.2,16.6,2.2,04,013
0500000US04015,"Mohave County, Arizona",55.8,25.1,34.6,5.7,04,015
0500000US04017,"Navajo County, Arizona",51.8,34.5,21.9,2.5,04,017
0500000US04019,"Pima County, Arizona",42.8,22.5,22.5,3.7,04,019
0500000US04021,"Pinal County, Arizona",42.3,20.6,23.5,3.6,04,021
0500000US04023,"Santa Cruz County, Arizona",53.2,38.7,20.3,1.9,04,023
0500000US04025,"Yavapai County, Arizona",49.9,17.6,35.0,5.7,04,025
0500000US04027,"Yuma County, Arizona",49.4,31.6,21.5,3.7,04,027
0500000US05001,"Arkansas County, Arkansas",49.2,32.4,23.2,1.2,05,001
0500000US05003,"Ashley County, Arkansas",56.1,34.9,26.1,2.2,05,003
0500000US05005,"Baxter County, Arkansas",57.8,25.2,35.5,5.8,05,005
0500000US05007,"Benton County, Arkansas",30.3,16.3,14.8,2.4,05,007
0500000US05009,"Boone County, Arkansas",47.3,25.8,25.3,3.3,05,009
0500000US05011,"Bradley County, Arkansas",52.0,32.8,21.9,1.3,05,011
0500000US05013,"Calhoun County, Arkansas",51.6,27.1,25.0,1.8,05,013
0500000US05015,"Carroll County, Arkansas",51.9,29.1,25.6,4.6,05,015
0500000US05017,"Chicot County, Arkansas",57.7,38.5,26.0,1.9,05,017
0500000US05019,"Clark County, Arkansas",42.2,27.0,19.0,2.1,05,019
0500000US05021,"Clay County, Arkansas",54.2,31.2,26.4,3.9,05,021
0500000US05023,"Cleburne County, Arkansas",57.7,29.9,30.6,4.6,05,023
0500000US05025,"Cleveland County, Arkansas",47.7,26.1,25.1,1.0,05,025
0500000US05027,"Columbia County, Arkansas",46.0,29.4,19.8,2.8,05,027
0500000US05029,"Conway County, Arkansas",52.7,34.3,22.8,3.2,05,029
0500000US05031,"Craighead County, Arkansas",43.3,30.0,16.0,2.5,05,031
0500000US05033,"Crawford County, Arkansas",47.9,29.9,21.6,4.4,05,033
0500000US05035,"Crittenden County, Arkansas",50.8,37.7,18.2,2.2,05,035
0500000US05037,"Cross County, Arkansas",53.8,37.9,20.9,2.8,05,037
0500000US05039,"Dallas County, Arkansas",55.1,30.2,30.2,3.6,05,039
0500000US05041,"Desha County, Arkansas",56.9,38.8,25.4,2.8,05,041
0500000US05043,"Drew County, Arkansas",53.2,35.2,22.9,2.0,05,043
0500000US05045,"Faulkner County, Arkansas",34.7,20.2,16.2,2.3,05,045
0500000US05047,"Franklin County, Arkansas",49.0,30.4,22.8,4.4,05,047
0500000US05049,"Fulton County, Arkansas",56.9,31.8,30.7,4.3,05,049
0500000US05051,"Garland County, Arkansas",51.5,26.9,27.4,3.7,05,051
0500000US05053,"Grant County, Arkansas",44.3,25.1,21.9,2.6,05,053
