GEO_ID,NAME,B27010_001E,B27010_002E,B27010_018E,B27010_034E,B27010_051E,B27010_007E,B27010_013E,B27010_023E,B27010_029E,B27010_039E,B27010_046E,B27010_062E,state,county,tract,block group,GEO_ID_2,GEO_ID_2
1500000US150010201001,Block Group 1; Census Tract 201; Hawaii County; Hawaii,1505,404,294,541,266,269,0,82,0,179,6,81,15,001,020100,1,1500000US150010201001,1500000US150010201002
1500000US150010201002,Block Group 2; Census Tract 201; Hawaii County; Hawaii,495,95,71,218,111,24,0,9,0,14,0,2,15,001,020100,2,1500000US150010201002,1500000US150010201001
1500000US150010201003,Block Group 3; Census Tract 201; Hawaii County; Hawaii,1424,204,146,691,383,47,0,46,0,32,0,0,15,001,020100,3,1500000US150010201003,1500000US150010201003
1500000US150010201004,Block Group 4; Census Tract 201; Hawaii County; Hawaii,1296,276,306,538,176,208,0,117,10,80,0,18,15,001,020100,4,1500000US150010201004,1500000US150010201004
1500000US150010202021,Block Group 1; Census Tract 202.02; Hawaii County; Hawaii,700,291,57,263,89,71,0,2,0,34,0,7,15,001,020202,1,1500000US150010202021,1500000US150010202021
1500000US150010202022,Block Group 2; Census Tract 202.02; Hawaii County; Hawaii,1078,255,152,462,209,179,0,29,0,90,20,27,15,001,020202,2,1500000US150010202022,1500000US150010202022
1500000US150010203001,Block Group 1; Census Tract 203; Hawaii County; Hawaii,1346,322,292,418,314,158,0,41,0,34,0,0,15,001,020300,1,1500000US150010203001,1500000US150010203001
1500000US150010203002,Block Group 2; Census Tract 203; Hawaii County; Hawaii,1078,403,293,269,113,365,0,66,9,83,25,26,15,001,020300,2,1500000US150010203002,1500000US150010203002
1500000US150010203003,Block Group 3; Census Tract 203; Hawaii County; Hawaii,1691,324,434,587,346,214,0,168,0,117,83,48,15,001,020300,3,1500000US150010203003,1500000US150010203003
1500000US150010204001,Block Group 1; Census Tract 204; Hawaii County; Hawaii,1560,572,277,464,247,495,0,124,0,204,25,20,15,001,020400,1,1500000US150010204001,1500000US150010204001
1500000US150010204002,Block Group 2; Census Tract 204; Hawaii County; Hawaii,1162,411,315,319,117,170,0,63,0,0,0,0,15,001,020400,2,1500000US150010204002,1500000US150010204002
1500000US150010204003,Block Group 3; Census Tract 204; Hawaii County; Hawaii,870,154,109,302,305,147,0,15,0,80,8,38,15,001,020400,3,1500000US150010204003,1500000US150010204003
1500000US150010205001,Block Group 1; Census Tract 205; Hawaii County; Hawaii,1152,25,304,483,340,25,0,17,0,39,38,0,15,001,020500,1,1500000US150010205001,1500000US150010205001
1500000US150010205002,Block Group 2; Census Tract 205; Hawaii County; Hawaii,1803,722,322,706,53,412,0,73,47,166,8,27,15,001,020500,2,1500000US150010205002,1500000US150010205002
1500000US150010205003,Block Group 3; Census Tract 205; Hawaii County; Hawaii,1394,421,619,344,10,97,0,86,0,71,0,10,15,001,020500,3,1500000US150010205003,1500000US150010205003
1500000US150010205004,Block Group 4; Census Tract 205; Hawaii County; Hawaii,1451,223,357,325,546,42,0,230,0,57,23,43,15,001,020500,4,1500000US150010205004,1500000US150010205004
1500000US150010206001,Block Group 1; Census Tract 206; Hawaii County; Hawaii,775,86,67,353,269,0,0,20,0,63,0,9,15,001,020600,1,1500000US150010206001,1500000US150010206001
1500000US150010206002,Block Group 2; Census Tract 206; Hawaii County; Hawaii,848,199,128,354,167,70,0,42,0,32,2,5,15,001,020600,2,1500000US150010206002,1500000US150010207011
1500000US150010206003,Block Group 3; Census Tract 206; Hawaii County; Hawaii,1811,441,345,659,366,256,0,140,0,184,15,11,15,001,020600,3,1500000US150010206003,1500000US150010206002
1500000US150010206004,Block Group 4; Census Tract 206; Hawaii County; Hawaii,3245,661,572,1328,684,347,0,95,32,206,34,115,15,001,020600,4,1500000US150010206004,1500000US150010206003
1500000US150010207011,Block Group 1; Census Tract 207.01; Hawaii County; Hawaii,2231,430,419,686,696,153,0,65,0,159,0,81,15,001,020701,1,1500000US150010207011,1500000US150010206004
1500000US150010207012,Block Group 2; Census Tract 207.01; Hawaii County; Hawaii,1327,316,200,639,172,204,0,54,0,112,0,0,15,001,020701,2,1500000US150010207012,1500000US150010207013
1500000US150010207013,Block Group 3; Census Tract 207.01; Hawaii County; Hawaii,1565,241,439,525,360,186,0,47,0,134,9,22,15,001,020701,3,1500000US150010207013,1500000US150010207022
1500000US150010207021,Block Group 1; Census Tract 207.02; Hawaii County; Hawaii,1251,230,270,411,340,98,0,56,13,74,0,0,15,001,020702,1,1500000US150010207021,1500000US150010207021
1500000US150010207022,Block Group 2; Census Tract 207.02; Hawaii County; Hawaii,2535,527,358,1017,633,227,0,163,0,142,7,54,15,001,020702,2,1500000US150010207022,1500000US150010207023
