GEOIDFQ,cat4_mom_slosh_hightide_maximum,emergency_shelters_count,FEMA_SFHA_acres,FEMA_SFHA_intersect,igtn_prob_test_maximum,n10_landslide_susc_maximum,slrxa_3pt2ft_acres,slrxa_3pt2ft_intersect,slrxa_3pt2ft_pct,staterf_inann_mean
1500000US150010201002,9.0,1,,0,0.759999990463,81.0,10.3463336773,1,0.260461,163.873453542
1500000US150010201003,14.0,1,,0,0.77999997139,81.0,51.8822253066,1,0.496974,172.082143344
1500000US150010201004,10.0,1,,0,0.740000009537,81.0,11.5067574261,1,0.816527,151.644548222
1500000US150010202021,14.0,2,0.314939963969,1,0.870000004768,81.0,1.05829730534,1,0.00764215,170.110687247
1500000US150010202021,14.0,2,12.3149996123,1,0.870000004768,81.0,1.05829730534,1,0.00764215,170.110687247
1500000US150010202021,14.0,2,31.8020595777,1,0.870000004768,81.0,1.05829730534,1,0.00764215,170.110687247
1500000US150010202021,14.0,2,18.3641795024,1,0.870000004768,81.0,1.05829730534,1,0.00764215,170.110687247
1500000US150010202022,13.0,1,6.01653380686,1,0.769999980927,80.0,3.92859713221,1,0.444256,151.650893893
1500000US150010202022,13.0,1,12.8953957551,1,0.769999980927,80.0,3.92859713221,1,0.444256,151.650893893
1500000US150010203001,17.0,3,53.6637749182,1,0.839999973774,74.0,0.191127087328,1,0.0448044,164.206399326
1500000US150010203001,17.0,3,0.115019489841,1,0.839999973774,74.0,0.191127087328,1,0.0448044,164.206399326
1500000US150010203001,17.0,3,0.24898582011,1,0.839999973774,74.0,0.191127087328,1,0.0448044,164.206399326
1500000US150010203002,19.0,1,1.61362700591,1,0.72000002861,75.0,6.31542840402,1,7.82946,144.807830811
1500000US150010203002,19.0,1,2.36342778092,1,0.72000002861,75.0,6.31542840402,1,7.82946,144.807830811
1500000US150010203002,19.0,1,0.280910993164,1,0.72000002861,75.0,6.31542840402,1,7.82946,144.807830811
1500000US150010203002,19.0,1,0.70122726743,1,0.72000002861,75.0,6.31542840402,1,7.82946,144.807830811
1500000US150010203002,19.0,1,7.71398537073,1,0.72000002861,75.0,6.31542840402,1,7.82946,144.807830811
1500000US150010203003,18.0,2,0.904971801459,1,0.790000021458,74.0,1.8181620198,1,0.576712,146.983680362
1500000US150010203003,18.0,2,12.9528463671,1,0.790000021458,74.0,1.8181620198,1,0.576712,146.983680362
1500000US150010203003,18.0,2,22.9936657216,1,0.790000021458,74.0,1.8181620198,1,0.576712,146.983680362
1500000US150010204003,21.0,1,0.00315963545128,1,0.800000011921,26.0,34.4223185321,1,8.50411,141.098942096
1500000US150010204003,21.0,1,3.19512116397,1,0.800000011921,26.0,34.4223185321,1,8.50411,141.098942096
1500000US150010204003,21.0,1,0.146161251065,1,0.800000011921,26.0,34.4223185321,1,8.50411,141.098942096
