GEOIDFQ,emergency_shelters_count,fire_stations_count,police_stations_count,wastewater_plants_count
1500000US150010201001,1,1,1,1
1500000US150010201002,1,1,1,1
1500000US150010201003,1,1,1,1
1500000US150010201004,1,1,1,1
1500000US150010202021,1,1,1,2
1500000US150010202022,1,1,1,1
1500000US150010203001,1,1,1,1
1500000US150010203002,1,1,1,1
1500000US150010203003,1,1,1,1
1500000US150010204001,1,1,1,1
1500000US150010204002,1,1,1,1
1500000US150010204003,1,2,1,1
1500000US150010205001,1,1,1,1
1500000US150010205002,1,1,1,1
1500000US150010205003,2,1,1,1
1500000US150010205004,1,1,1,1
1500000US150010206001,1,2,1,1
1500000US150010206002,1,1,1,2
1500000US150010206003,1,1,1,1
1500000US150010206004,1,1,1,1
1500000US150010207011,1,1,1,1
1500000US150010207012,1,1,1,1
1500000US150010207013,1,1,1,1
1500000US150010207021,1,1,1,1
1500000US150010207022,1,1,1,1
1500000US150010207023,1,1,1,1
1500000US150010208011,1,1,1,1
1500000US150010208012,1,1,1,1
1500000US150010208013,1,1,1,1
1500000US150010208021,1,1,1,1
1500000US150010208022,1,1,1,1
1500000US150010208023,1,1,1,1
1500000US150010208024,1,1,1,1
1500000US150010208025,1,1,1,1
1500000US150010209001,1,1,1,1
1500000US150010209002,1,1,1,1
1500000US150010209003,1,1,1,1
1500000US150010209004,1,1,1,1
1500000US150010209005,1,1,1,1
1500000US150010210031,1,1,1,1
1500000US150010210032,1,1,1,1
1500000US150010210033,1,1,1,1
1500000US150010210034,1,1,1,1
1500000US150010210035,1,1,1,1
1500000US150010210111,1,1,1,1
1500000US150010210112,1,1,1,1
1500000US150010210113,1,1,1,1
1500000US150010210131,2,1,1,1
1500000US150010210132,1,1,1,1
1500000US150010210133,1,1,1,1
1500000US150010210141,1,1,1,1
1500000US150010210142,1,1,1,1
1500000US150010210143,1,1,1,1
1500000US150010210151,1,1,1,1
1500000US150010210152,1,2,1,1
1500000US150010210161,1,1,1,1
1500000US150010210162,1,1,1,1
1500000US150010210163,1,1,1,1
1500000US150010210171,1,1,1,1
1500000US150010210172,1,1,1,1
1500000US150010210173,1,1,1,1
1500000US150010211011,1,1,1,1
1500000US150010211012,1,1,1,1
1500000US150010211013,1,1,1,1
1500000US150010211071,2,1,1,1
1500000US150010211081,1,1,1,1
1500000US150010211082,1,2,1,1
1500000US150010211083,1,1,1,1
1500000US150010212031,1,3,1,1
1500000US150010212032,1,2,1,1
1500000US150010212033,1,1,1,1
1500000US150010212034,1,2,1,1
1500000US150010212041,1,1,1,1
1500000US150010212042,1,1,1,1
1500000US150010212043,1,1,1,1
1500000US150010213001,1,1,1,1
1500000US150010213002,1,1,1,1
1500000US150010213003,1,2,1,1
1500000US150010213004,1,1,1,1
1500000US150010214021,1,1,1,1
1500000US150010214022,1,1,1,3
1500000US150010215021,1,1,1,1
1500000US150010215022,1,2,1,1
1500000US150010215023,1,1,1,1
1500000US150010215041,2,1,1,1
1500000US150010215042,1,1,1,8
1500000US150010215101,1,1,1,1
1500000US150010215102,1,1,1,1
1500000US150010215103,1,1,1,1
1500000US150010215104,1,1,1,2
1500000US150010215111,1,1,1,1
1500000US150010215121,1,1,1,1
1500000US150010215122,1,1,1,1
1500000US150010215131,1,2,1,6
1500000US150010215132,1,1,1,1
1500000US150010215133,1,1,1,1
1500000US150010216051,1,1,1,1
1500000US150010216052,1,1,1,1
1500000US150010216053,1,1,1,1
1500000US150010216061,1,1,1,1
1500000US150010216062,1,1,1,1
1500000US150010216071,1,1,1,1
1500000US150010216072,1,1,1,1
1500000US150010216073,1,1,1,5
1500000US150010216081,1,1,1,1
1500000US150010216082,1,1,1,1
1500000US150010216083,1,1,1,1
1500000US150010216084,1,1,1,1
1500000US150010217051,1,1,1,1
1500000US150010217052,1,1,1,1
1500000US150010217053,1,1,1,1
1500000US150010217061,1,1,1,1
1500000US150010217062,2,2,1,1
1500000US150010217071,1,1,1,1
1500000US150010217072,1,1,1,1
1500000US150010217073,1,1,1,3
1500000US150010217081,1,1,1,3
1500000US150010217082,1,1,1,1
1500000US150010217083,1,2,1,2
1500000US150010218001,2,1,1,1
1500000US150010218002,1,1,1,1
1500000US150010218003,1,1,1,1
1500000US150010218004,1,1,1,1
1500000US150010219021,1,1,1,1
1500000US150010219022,1,1,1,1
1500000US150010219023,1,1,1,1
1500000US150010220001,1,1,1,1
1500000US150010220002,1,1,1,1
1500000US150010221021,1,1,1,1
1500000US150010221022,1,2,1,1
1500000US150030001071,1,1,1,1
1500000US150030001072,1,1,1,1
1500000US150030001081,1,1,1,1
1500000US150030001082,1,1,1,1
1500000US150030001083,1,1,1,1
1500000US150030001101,1,1,1,1
1500000US150030001102,1,1,1,1
1500000US150030001103,1,1,1,1
1500000US150030001104,1,1,1,1
1500000US150030001141,1,1,1,1
1500000US150030001142,1,1,1,1
1500000US150030001151,1,1,1,1
1500000US150030001152,1,1,1,1
1500000US150030001153,1,1,1,1
1500000US150030001161,1,1,1,1
1500000US150030001171,1,1,1,1
1500000US150030001181,1,1,1,1
1500000US150030001191,1,1,1,1
1500000US150030001192,1,1,1,1
1500000US150030001193,1,1,1,1
1500000US150030001201,1,1,1,1
1500000US150030001202,1,1,1,1
1500000US150030001203,1,1,1,1
1500000US150030001211,1,1,1,1
1500000US150030001212,1,1,1,1
1500000US150030001221,1,1,1,1
1500000US150030001222,1,1,1,1
1500000US150030001223,1,1,1,1
1500000US150030002001,1,1,1,1
1500000US150030002002,1,1,1,1
1500000US150030002003,1,1,1,1
1500000US150030002004,1,1,1,1
1500000US150030002005,1,1,1,1
1500000US150030002006,1,1,1,1
1500000US150030003011,1,1,1,1
1500000US150030003012,1,1,1,1
