GEO_ID,NAME,B27010_001E,B27010_017E,B27010_022E,B27010_023E,B27010_029E,B27010_033E,B27010_038E,B27010_039E,B27010_044E,B27010_045E,B27010_046E,B27010_060E,B27010_061E,B27010_062E,B27010_055E,state
0400000US37,North Carolina,10366704,136360,6211,233299,10782,382358,79691,229263,19168,13631,81096,274551,336928,116572,576782,37
0400000US38,North Dakota,761569,12410,284,14112,557,18318,2790,16053,778,1078,3653,14031,40422,4930,29583,38
0400000US39,Ohio,11612784,130648,7610,424642,13160,269201,89222,536410,24013,11530,93628,360818,401417,122723,693047,39
0400000US40,Oklahoma,3906785,84312,4281,89162,4621,197130,39245,97279,7690,5688,28675,95295,130627,33808,191843,40
0400000US41,Oregon,4196946,28911,2084,167585,4975,97777,23971,213771,5275,5003,30463,104158,178571,56080,254044,41
0400000US42,Pennsylvania,12800535,140142,7146,407316,14346,249345,79026,520829,24110,18089,105989,425776,582395,165367,683569,42
0400000US44,Rhode Island,1078696,6369,596,41207,2254,17947,7021,53357,1991,951,10978,28454,36910,18243,59872,44
0400000US45,South Carolina,5113158,66110,3122,115058,4811,186150,44483,127391,11000,7201,42679,152913,175237,65854,294250,45
0400000US46,South Dakota,879723,16578,460,11145,871,30610,4928,12434,868,972,5165,12679,42640,7023,49727,46
0400000US47,Tennessee,6888125,92146,4280,172978,7252,252384,54804,199707,12332,8538,58899,153169,233282,82927,395039,47
0400000US48,Texas,29157945,934384,16209,436462,19982,1816985,159548,451256,29815,16442,144125,574286,552261,348261,1388679,48
0400000US49,Utah,3304468,69806,1342,44938,2505,101672,9759,50665,3373,1200,12680,59888,77405,19625,134101,49
0400000US50,Vermont,639109,2605,575,25129,1493,9058,4175,34589,774,671,7664,23664,29972,8719,36990,50
0400000US51,Virginia,8429141,93609,6484,196539,6175,209382,58926,245718,15009,8016,38934,256235,249205,68362,395995,51
0400000US53,Washington,7623297,52983,3925,254086,7861,182922,36041,298192,9426,6554,45638,198488,255001,84778,371031,53
0400000US54,West Virginia,1750730,11266,1325,75121,2853,39985,20122,108781,8617,2704,21520,85288,56607,24721,99192,54
0400000US55,Wisconsin,5828067,54361,2776,151286,7359,113895,28129,193053,8367,6554,45564,135634,290752,61861,328213,55
0400000US56,Wyoming,569723,13024,193,7060,370,23288,3265,7682,1071,650,3145,12994,25920,4804,33202,56
0400000US72,Puerto Rico,3227627,16791,6915,319264,4283,73715,54818,434704,4415,6251,60597,49909,60809,258857,273479,72
