GEO_ID,NAME,B27010_001E,B27010_004E,B27010_007E,B27010_008E,B27010_009E,B27010_017E,state,county,tract,block group,GEO_ID_2
1500000US150010201001,Block Group 1; Census Tract 201; Hawaii County; Hawaii,1505,109,269,0,0,0,15,001,020100,1,1500000US150010201001
1500000US150010201002,Block Group 2; Census Tract 201; Hawaii County; Hawaii,495,49,24,0,0,5,15,001,020100,2,1500000US150010201002
1500000US150010201003,Block Group 3; Census Tract 201; Hawaii County; Hawaii,1424,152,47,0,0,0,15,001,020100,3,1500000US150010201003
1500000US150010201004,Block Group 4; Census Tract 201; Hawaii County; Hawaii,1296,55,208,0,0,0,15,001,020100,4,1500000US150010201004
1500000US150010202021,Block Group 1; Census Tract 202.02; Hawaii County; Hawaii,700,60,71,0,0,0,15,001,020202,1,1500000US150010202021
1500000US150010202022,Block Group 2; Census Tract 202.02; Hawaii County; Hawaii,1078,59,179,0,0,0,15,001,020202,2,1500000US150010202022
1500000US150010203001,Block Group 1; Census Tract 203; Hawaii County; Hawaii,1346,94,158,0,0,31,15,001,020300,1,1500000US150010203001
1500000US150010203002,Block Group 2; Census Tract 203; Hawaii County; Hawaii,1078,38,365,0,0,0,15,001,020300,2,1500000US150010203002
1500000US150010203003,Block Group 3; Census Tract 203; Hawaii County; Hawaii,1691,76,214,0,0,0,15,001,020300,3,1500000US150010203003
1500000US150010204001,Block Group 1; Census Tract 204; Hawaii County; Hawaii,1560,77,495,0,0,0,15,001,020400,1,1500000US150010204001
1500000US150010204002,Block Group 2; Census Tract 204; Hawaii County; Hawaii,1162,103,170,0,0,0,15,001,020400,2,1500000US150010204002
1500000US150010204003,Block Group 3; Census Tract 204; Hawaii County; Hawaii,870,4,147,3,0,0,15,001,020400,3,1500000US150010204003
1500000US150010205001,Block Group 1; Census Tract 205; Hawaii County; Hawaii,1152,0,25,0,0,0,15,001,020500,1,1500000US150010205001
1500000US150010205002,Block Group 2; Census Tract 205; Hawaii County; Hawaii,1803,200,412,0,0,110,15,001,020500,2,1500000US150010205002
1500000US150010205003,Block Group 3; Census Tract 205; Hawaii County; Hawaii,1394,84,97,0,0,14,15,001,020500,3,1500000US150010205003
1500000US150010205004,Block Group 4; Census Tract 205; Hawaii County; Hawaii,1451,0,42,0,0,0,15,001,020500,4,1500000US150010205004
1500000US150010206001,Block Group 1; Census Tract 206; Hawaii County; Hawaii,775,20,0,56,0,0,15,001,020600,1,1500000US150010206001
1500000US150010206002,Block Group 2; Census Tract 206; Hawaii County; Hawaii,848,82,70,19,0,8,15,001,020600,2,1500000US150010206002
1500000US150010206003,Block Group 3; Census Tract 206; Hawaii County; Hawaii,1811,107,256,0,0,4,15,001,020600,3,1500000US150010206003
1500000US150010206004,Block Group 4; Census Tract 206; Hawaii County; Hawaii,3245,191,347,64,0,10,15,001,020600,4,1500000US150010206004
1500000US150010207011,Block Group 1; Census Tract 207.01; Hawaii County; Hawaii,2231,233,153,0,0,0,15,001,020701,1,1500000US150010207011
1500000US150010207012,Block Group 2; Census Tract 207.01; Hawaii County; Hawaii,1327,17,204,0,0,17,15,001,020701,2,1500000US150010207012
1500000US150010207013,Block Group 3; Census Tract 207.01; Hawaii County; Hawaii,1565,55,186,0,0,0,15,001,020701,3,1500000US150010207013
1500000US150010207021,Block Group 1; Census Tract 207.02; Hawaii County; Hawaii,1251,105,98,0,0,27,15,001,020702,1,1500000US150010207021
1500000US150010207022,Block Group 2; Census Tract 207.02; Hawaii County; Hawaii,2535,267,227,0,0,0,15,001,020702,2,1500000US150010207022
1500000US150010207023,Block Group 3; Census Tract 207.02; Hawaii County; Hawaii,1316,139,21,0,0,0,15,001,020702,3,1500000US150010207023
1500000US150010208011,Block Group 1; Census Tract 208.01; Hawaii County; Hawaii,1596,174,0,0,0,0,15,001,020801,1,1500000US150010208011
1500000US150010208012,Block Group 2; Census Tract 208.01; Hawaii County; Hawaii,2217,315,139,0,0,0,15,001,020801,2,1500000US150010208012
1500000US150010208013,Block Group 3; Census Tract 208.01; Hawaii County; Hawaii,1206,203,173,0,0,0,15,001,020801,3,1500000US150010208013
1500000US150010208021,Block Group 1; Census Tract 208.02; Hawaii County; Hawaii,1088,12,89,0,0,0,15,001,020802,1,1500000US150010208021
1500000US150010208022,Block Group 2; Census Tract 208.02; Hawaii County; Hawaii,419,0,23,0,0,0,15,001,020802,2,1500000US150010208022
1500000US150010208023,Block Group 3; Census Tract 208.02; Hawaii County; Hawaii,3175,415,47,3,0,184,15,001,020802,3,1500000US150010208023
1500000US150010208024,Block Group 4; Census Tract 208.02; Hawaii County; Hawaii,952,134,0,0,0,0,15,001,020802,4,1500000US150010208024
