GEO_ID,NAME,B01001_001E,B25003_001E,B01003_001E,C16001_001E,C16002_013E,C16002_014E,B28011_001E,B28011_008E,B25046_001E,B27010_001E,B27010_002E,B27010_017E,B27010_018E,B27010_033E,B27010_034E,B27010_050E,B27010_051E,B27010_066E,state,county,tract,block group
1500000US150070401062,Block Group 2; Census Tract 401.06; Kauai County; Hawaii,690,349,690,,0,0,349,0,677,690,52,6,48,6,343,5,247,0,15,007,040106,2
1500000US150070401063,Block Group 3; Census Tract 401.06; Kauai County; Hawaii,506,184,506,,0,0,184,0,353,506,130,0,52,0,226,1,98,0,15,007,040106,3
1500000US150070402041,Block Group 1; Census Tract 402.04; Kauai County; Hawaii,1792,658,1792,,0,0,658,0,1343,1792,258,0,163,0,937,37,434,12,15,007,040204,1
1500000US150070402042,Block Group 2; Census Tract 402.04; Kauai County; Hawaii,4311,1318,4311,,0,5,1318,5,2893,4311,1261,0,517,57,1659,92,874,0,15,007,040204,2
1500000US150070402051,Block Group 1; Census Tract 402.05; Kauai County; Hawaii,1480,522,1480,,0,0,522,41,1089,1473,277,58,270,41,514,75,412,0,15,007,040205,1
1500000US150070402052,Block Group 2; Census Tract 402.05; Kauai County; Hawaii,1356,318,1356,,0,0,318,26,,1356,335,0,236,7,528,46,257,0,15,007,040205,2
1500000US150070402053,Block Group 3; Census Tract 402.05; Kauai County; Hawaii,1032,434,1032,,0,0,434,8,913,1032,162,87,52,42,609,34,209,51,15,007,040205,3
1500000US150070402054,Block Group 4; Census Tract 402.05; Kauai County; Hawaii,1005,406,1005,,0,5,406,71,796,1005,214,0,174,0,382,65,235,0,15,007,040205,4
1500000US150070403011,Block Group 1; Census Tract 403.01; Kauai County; Hawaii,1768,378,1768,,0,0,378,0,,1768,500,41,130,0,794,73,344,0,15,007,040301,1
1500000US150070403012,Block Group 2; Census Tract 403.01; Kauai County; Hawaii,2488,1030,2488,,0,0,1030,67,2132,2488,348,0,567,37,1143,166,430,0,15,007,040301,2
1500000US150070403013,Block Group 3; Census Tract 403.01; Kauai County; Hawaii,1758,472,1758,,0,0,472,47,1351,1758,240,0,317,0,708,34,493,0,15,007,040301,3
1500000US150070403021,Block Group 1; Census Tract 403.02; Kauai County; Hawaii,1117,398,1117,,0,10,398,7,976,1063,305,0,40,0,474,24,244,0,15,007,040302,1
1500000US150070403022,Block Group 2; Census Tract 403.02; Kauai County; Hawaii,1204,353,1204,,0,103,353,0,593,1204,211,0,254,0,469,0,270,0,15,007,040302,2
