AIANNHH,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B28002_013E,B09019_005E,B09019_008E,B19101_001E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E
2330,"Montgomery Creek Rancheria, CA",10,2,1,0,2,0,0,1,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
2340,"Mooretown Rancheria and Off-Reservation Trust Land, CA",177,5,2,0,0,0,0,3,2,10,41,61,6,4,7,7,2,1,2,4,4,0,34,0,85,0,0,2,56
2360,"Morongo Reservation and Off-Reservation Trust Land, CA",840,65,46,26,8,7,7,28,31,38,189,295,34,33,24,9,3,7,29,13,9,16,144,13,563,2,0,24,94
2375,"Muckleshoot Reservation and Off-Reservation Trust Land, WA",4362,197,283,537,29,19,11,125,137,198,1030,1552,147,166,184,132,14,44,99,101,47,45,1625,123,1371,165,148,403,527
2400,"Nambe Pueblo and Off-Reservation Trust Land, NM",2148,284,147,112,51,58,62,327,190,180,515,900,54,55,27,53,35,126,61,80,23,43,802,97,540,0,0,409,300
2415,"Narragansett Reservation, RI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2430,"Navajo Nation Reservation and Off-Reservation Trust Land, AZ--NM--UT",166545,14933,11966,5932,2184,945,763,28411,7568,6330,33808,62869,4356,6205,6522,4095,1429,1925,4774,5534,2118,2878,3030,548,157958,760,143,895,3211
2445,"Nez Perce Reservation, ID",18594,923,1919,937,603,395,1316,1182,1221,999,4687,8341,406,565,518,342,317,654,605,761,261,475,14806,80,2151,173,28,251,1105
2460,"Nisqually Reservation, WA",593,60,103,3,0,2,0,11,40,8,143,215,13,39,62,10,2,11,9,15,5,16,158,5,360,6,11,7,46
2475,"Nooksack Reservation and Off-Reservation Trust Land, WA",825,67,36,5,8,3,13,25,24,20,177,297,33,40,44,20,6,6,29,24,6,10,118,2,426,23,11,48,197
2490,"Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, MT--SD",4460,383,427,152,70,3,19,238,122,99,793,1389,234,282,226,149,28,65,84,67,39,51,197,10,4124,0,1,0,128
2495,"North Fork Rancheria and Off-Reservation Trust Land, CA",55,0,0,0,0,0,0,1,1,0,9,12,3,5,0,0,0,0,0,0,0,0,3,0,42,0,0,1,9
2505,"Northwestern Shoshone Reservation, UT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2510,"Ohkay Owingeh, NM",6847,441,563,294,110,151,133,735,310,343,1331,2951,245,178,253,138,21,121,232,364,76,118,1870,74,1253,32,0,2841,777
2535,"Oil Springs Reservation, NY",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2550,"Omaha Reservation, NE--IA",4707,156,288,180,138,109,446,226,155,186,1003,1578,230,213,252,130,40,55,114,154,26,56,2175,7,2190,30,0,82,223
2555,"Oneida Indian Nation Reservation, NY",62773,3203,3198,2984,3331,1555,8608,2444,3252,3746,16189,25847,1429,1819,1785,1157,788,1416,2475,2386,1125,1444,58498,742,236,374,0,413,2510
2560,"Oneida (WI) Reservation and Off-Reservation Trust Land, WI",26917,1980,1899,813,348,66,294,436,898,971,7505,11135,654,921,831,601,273,671,776,1642,403,603,18706,294,3460,1287,19,544,2607
2570,"Onondaga Nation Reservation, NY",412,0,106,0,23,0,19,0,24,106,86,96,16,0,0,0,0,0,0,0,0,20,0,0,373,39,0,0,0
2580,"Ontonagon Reservation, MI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2595,"Osage Reservation, OK",46004,2725,3972,1767,1699,904,2161,2566,2071,2612,11433,18997,1206,1446,1374,965,552,781,1503,1646,846,916,29305,4878,5125,144,0,634,5918
2625,"Paiute (UT) Reservation, UT",424,22,56,9,3,6,0,17,16,12,84,147,21,22,9,4,3,0,18,6,14,9,20,0,357,0,0,4,43
2635,"Pala Reservation, CA",988,43,102,16,6,5,16,54,25,41,220,297,45,30,41,14,5,4,32,39,11,3,163,8,440,26,6,12,333
2680,"Pascua Pueblo Yaqui Reservation and Off-Reservation Trust Land, AZ",3678,514,66,29,21,0,0,178,65,106,730,1265,113,183,204,101,7,49,59,90,7,40,99,11,3184,0,20,301,63
2685,"Paskenta Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2695,"Passamaquoddy Trust Land, ME",0,19,22,5,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2715,"Pauma and Yuima Reservation, CA",150,11,8,5,2,0,0,4,1,7,35,43,7,2,12,8,0,2,5,7,1,2,31,0,101,6,0,7,5
2745,"Pechanga Reservation and Off-Reservation Trust Land, CA",310,12,16,2,5,0,2,14,8,10,63,140,22,9,9,5,3,5,17,4,3,2,46,3,188,7,0,16,50
2760,"Penobscot Reservation and Off-Reservation Trust Land, ME",557,47,55,21,10,0,33,58,62,37,126,270,5,8,8,4,9,17,15,35,6,33,107,7,403,3,0,0,37
2775,"Picayune Rancheria and Off-Reservation Trust Land, CA",53,0,2,0,0,0,0,9,0,0,15,27,0,0,3,3,0,0,0,7,4,2,2,0,41,0,0,0,10
2785,"Picuris Pueblo, NM",2448,152,194,96,72,73,209,260,155,158,459,1084,54,177,116,51,25,30,63,84,25,24,949,8,212,10,0,112,1157
2810,"Pine Ridge Reservation, SD--NE",18961,858,1235,441,237,175,452,1353,308,285,3265,6120,915,1142,998,467,291,113,494,414,162,251,2195,22,16284,53,0,178,229
2820,"Pinoleville Rancheria, CA",158,7,9,1,4,1,2,5,3,9,39,68,5,6,7,13,2,0,2,2,1,0,33,0,98,0,0,1,26
2835,"Pit River Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2850,"Pleasant Point Reservation, ME",578,34,38,8,6,0,14,34,25,26,150,252,24,35,24,5,6,4,12,15,9,16,62,7,443,2,0,31,33
2865,"Poarch Creek Reservation and Off-Reservation Trust Land, AL--FL",363,32,7,3,0,0,5,41,29,30,66,129,21,24,12,1,19,9,2,10,0,10,86,2,257,0,0,3,15
2890,"Pokagon Reservation and Off-Reservation Trust Land, MI--IN",160,0,7,5,1,0,1,0,1,22,39,52,2,4,1,0,0,4,1,2,8,3,53,2,55,21,0,0,29
2900,"Ponca (NE) Trust Land, NE--IA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2910,"Port Gamble Reservation and Off-Reservation Trust Land, WA",684,12,48,18,1,0,4,14,11,17,169,239,24,40,19,16,6,6,10,9,1,18,103,12,432,4,11,8,114
2925,"Port Madison Reservation, WA",7882,516,732,154,187,108,290,127,365,567,2142,3233,161,218,283,136,133,180,301,253,132,183,5959,85,485,234,3,172,944
2980,"Prairie Band of Potawatomi Nation Reservation, KS",1198,76,88,17,21,6,109,77,49,93,287,420,31,37,54,24,20,29,32,33,12,13,596,4,476,19,0,3,100
2985,"Prairie Island Indian Community and Off-Reservation Trust Land, MN",288,15,7,7,0,0,4,11,5,15,84,105,7,14,13,8,0,0,3,19,0,8,37,0,205,3,0,17,26
2990,"Pueblo of Pojoaque and Off-Reservation Trust Land, NM",3687,300,214,97,115,43,159,316,265,264,933,1452,80,134,110,74,70,90,109,162,55,62,1550,13,664,24,0,829,607
3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",54384,3105,2564,1340,1076,810,1379,1029,1733,2085,14048,20943,2042,2113,1940,940,414,895,1741,1479,657,1010,29506,5711,1161,6634,1601,2133,7638
3010,"Pyramid Lake Paiute Reservation, NV",1531,157,223,56,21,14,21,172,63,86,407,598,38,85,27,8,3,15,35,41,56,32,449,28,879,14,15,36,110
3020,"Quartz Valley Reservation and Off-Reservation Trust Land, CA",254,8,45,6,2,0,7,3,6,5,74,108,15,17,7,9,1,22,3,10,0,8,85,8,134,0,0,4,23
3030,"Quileute Reservation, WA",352,17,20,14,1,4,2,18,10,9,64,108,6,24,38,7,2,0,8,10,3,4,22,2,300,3,1,0,24
3040,"Quinault Reservation, WA",1185,64,177,53,25,22,6,31,31,42,296,489,36,26,60,25,41,18,32,33,6,21,160,6,891,0,14,16,98
3070,"Ramona Village, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3085,"Red Cliff Reservation and Off-Reservation Trust Land, WI",1216,112,94,23,30,5,19,8,61,73,313,419,71,47,60,29,2,22,29,29,18,20,156,17,846,31,0,29,137
3095,"Redding Rancheria, CA",25,0,0,0,0,0,0,0,0,0,8,10,0,0,0,8,0,0,0,0,0,0,0,0,22,0,0,0,3
3100,"Red Lake Reservation, MN",5448,344,218,115,61,9,43,228,295,41,1035,1695,282,403,427,162,69,56,152,108,58,102,120,20,5183,0,0,0,125
3115,"Redwood Valley Rancheria, CA",246,29,8,3,12,4,5,24,13,17,62,92,10,8,8,3,8,1,11,4,8,9,128,19,50,0,0,0,49
3130,"Reno-Sparks Indian Colony and Off-Reservation Trust Land, NV",807,40,72,26,9,0,2,53,35,27,158,274,25,34,55,13,13,8,20,25,11,4,44,13,643,7,8,13,79
3145,"Resighini Rancheria, CA",39,23,0,0,3,0,0,23,21,0,7,27,0,2,2,0,0,2,0,2,0,21,2,0,32,0,0,0,5
3165,"Rincon Reservation and Off-Reservation Trust Land, CA",810,76,57,10,2,1,1,27,14,19,209,368,17,19,23,18,2,2,23,21,8,18,168,64,340,97,0,13,128
3185,"Roaring Creek Rancheria, CA",9,0,0,2,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0
3195,"Robinson Rancheria and Off-Reservation Trust Land, CA",590,63,7,0,0,1,5,27,20,4,92,270,41,19,45,14,0,0,12,0,0,1,31,0,537,11,0,7,4
3205,"Rocky Boy's Reservation and Off-Reservation Trust Land, MT",3613,272,235,99,53,18,25,344,131,52,795,1387,192,170,174,126,13,47,81,98,26,12,99,0,3377,2,0,0,135
3220,"Rohnerville (Rancheria) Trust Land, CA",86,0,0,0,0,0,0,2,0,2,17,27,1,1,7,0,0,1,3,0,0,0,5,0,69,0,0,0,12
3235,"Rosebud Indian Reservation and Off-Reservation Trust Land, SD",10303,616,823,365,182,73,177,905,322,363,1867,3183,641,620,506,311,109,46,196,229,75,103,881,1,8907,314,5,46,149
3250,"Round Valley Reservation and Off-Reservation Trust Land, CA",311,37,34,11,2,5,10,31,15,19,59,141,0,2,6,11,4,5,7,9,4,7,44,0,210,5,0,12,40
3265,"Rumsey Indian Rancheria, CA",21,3,0,0,0,0,0,0,3,0,5,6,2,3,2,0,0,1,0,0,0,0,1,0,20,0,0,0,0
3280,"Sac and Fox/Meskwaki Settlement and Off-Reservation Trust Land, IA",914,5,16,11,3,0,5,30,31,25,208,282,63,49,33,28,3,14,11,26,13,15,66,13,745,0,5,2,83
3285,"Sac and Fox Nation Reservation and Off-Reservation Trust Land, NE--KS",174,23,32,0,3,10,23,10,14,14,51,89,1,1,4,0,0,16,1,14,0,7,132,0,37,0,0,3,2
3305,"St. Croix Reservation and Off-Reservation Trust Land, WI",539,41,39,14,11,3,12,26,26,8,107,201,18,28,13,22,0,1,34,4,11,6,36,0,405,61,0,4,33
3320,"St. Regis Mohawk Reservation, NY",3639,74,40,68,212,28,142,185,77,240,945,1308,18,124,148,91,39,104,235,78,52,111,339,3,2916,206,0,0,175
3340,"Salt River Reservation, AZ",5949,381,905,122,63,0,35,196,377,402,1191,2187,287,138,256,138,52,88,123,96,52,116,1320,21,4025,0,0,84,499
3355,"San Carlos Reservation, AZ",10204,693,409,232,97,16,12,1000,232,101,2072,3262,410,555,543,190,88,127,210,199,196,139,189,4,8904,41,0,7,1059
3370,"Sandia Pueblo, NM",5173,571,345,208,154,61,127,481,220,288,1424,2128,151,155,151,84,50,113,228,213,67,114,2414,37,686,11,6,982,1037
3400,"San Felipe Pueblo, NM",3224,219,193,208,25,20,66,415,115,147,612,1262,110,129,158,68,35,109,114,149,57,15,595,0,2155,0,0,123,351
3415,"San Ildefonso Pueblo and Off-Reservation Trust Land, NM",2223,196,154,41,73,35,110,166,112,123,592,903,99,77,34,78,22,38,74,51,22,60,802,27,684,10,1,130,569
3445,"San Manuel Reservation and Off-Reservation Trust Land, CA",46,2,2,0,0,0,2,1,1,1,10,24,0,0,2,3,0,0,3,4,0,0,5,0,35,0,0,2,4
3460,"San Pasqual Reservation and Off-Reservation Trust Land, CA",934,39,55,15,7,0,0,44,26,24,203,365,26,40,34,40,0,0,28,32,4,14,242,0,498,10,3,11,170
3480,"Santa Ana Pueblo, NM",1097,40,50,38,9,16,26,20,19,15,197,465,33,28,53,33,4,24,12,13,21,14,23,0,1041,0,0,0,33
3495,"Santa Clara Pueblo and Off-Reservation Trust Land, NM",11842,960,1072,698,494,195,246,1340,706,897,2461,4664,315,401,511,353,133,142,453,343,215,221,4150,41,1434,72,0,4525,1620
3520,"Santa Rosa Rancheria, CA",870,38,13,0,13,0,0,46,14,12,129,263,31,48,57,40,2,3,3,13,0,11,99,3,618,16,6,52,76
3525,"Santa Rosa Reservation, CA",39,0,3,0,4,0,0,1,1,3,9,17,0,0,0,5,0,0,3,4,0,2,4,0,31,0,0,4,0
3540,"Santa Ynez Reservation, CA",236,30,19,0,2,0,2,4,11,14,44,66,12,9,5,12,4,0,2,10,0,2,23,0,168,3,0,5,37
3550,"Santa Ysabel Reservation, CA",176,16,18,7,2,1,2,19,5,6,45,79,3,3,6,1,0,7,1,8,0,1,39,1,127,5,0,0,4
3565,"Santee Reservation, NE",842,64,65,28,30,8,34,34,35,29,169,294,28,50,41,23,10,5,24,17,10,8,204,2,569,1,1,21,44
3585,"Santo Domingo Pueblo, NM",2961,88,101,97,35,20,125,246,35,47,530,955,138,81,159,75,16,19,66,87,24,25,50,0,2007,0,0,0,904
3625,"Sauk-Suiattle Reservation, WA",45,12,7,0,0,0,0,0,4,2,10,27,1,1,0,0,0,0,2,0,0,1,4,0,35,0,0,0,6
3635,"Sault Ste. Marie Reservation and Off-Reservation Trust Land, MI",2219,153,104,142,113,32,6,53,33,64,509,602,95,127,83,65,24,20,54,26,11,12,534,34,847,33,0,39,732
3665,"Seminole (FL) Trust Land, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3680,"Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land, MN--SD",594,13,8,2,0,0,0,15,10,47,116,228,18,20,16,9,5,10,5,8,4,4,211,18,222,10,2,8,123
3735,"Sherwood Valley Rancheria and Off-Reservation Trust Land, CA",169,13,3,0,0,0,1,9,1,5,32,78,8,4,9,0,0,4,6,4,1,3,15,1,119,4,0,2,28
3750,"Shingle Springs Rancheria and Off-Reservation Trust Land, CA",111,5,8,0,0,0,0,6,1,2,30,35,6,4,3,3,0,2,0,0,0,2,28,3,56,0,0,0,24
3780,"Shoalwater Bay Indian Reservation and Off-Reservation Trust Land, WA",94,13,3,4,0,0,4,5,9,8,14,50,0,2,12,7,4,1,0,6,0,4,33,0,61,0,0,0,0
3795,"Siletz Reservation and Off-Reservation Trust Land, OR",577,45,15,2,6,0,1,100,29,31,161,166,40,16,14,9,6,9,9,7,7,8,64,0,372,1,4,17,119
3825,"Skokomish Reservation and Off-Reservation Trust Land, WA",776,73,45,24,4,6,25,35,23,14,200,272,16,22,33,16,6,3,19,22,6,15,196,2,346,1,0,8,223
3840,"Skull Valley Reservation, UT",23,0,8,0,1,1,4,7,8,0,5,13,0,0,0,0,0,0,0,1,7,2,7,0,16,0,0,0,0
3855,"Smith River Rancheria and Off-Reservation Trust Land, CA",132,2,4,3,4,0,0,11,5,15,29,45,0,0,0,5,0,2,2,11,1,2,15,0,104,0,0,0,13
3860,"Snoqualmie Reservation and Off-Reservation Trust Land, WA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3870,"Soboba Reservation and Off-Reservation Trust Land, CA",177,25,5,3,1,0,3,4,2,14,31,55,12,2,9,5,3,2,4,4,0,1,21,2,142,0,0,4,8
3885,"Sokaogon Chippewa Community and Off-Reservation Trust Land, WI",480,55,14,6,1,2,0,34,19,31,95,176,15,31,18,8,2,9,8,38,9,11,58,4,395,0,0,2,21
3925,"Southern Ute Reservation, CO",13528,1033,801,270,291,208,347,1092,783,598,3452,5762,242,322,525,402,264,348,615,516,230,286,10451,5,1435,70,1,604,962
3930,"South Fork Reservation and Off-Reservation Trust Land, NV",58,13,7,1,1,0,0,9,1,0,19,17,0,1,0,0,0,2,1,0,0,2,6,0,50,0,0,0,2
3935,"Spirit Lake Reservation, ND",4042,251,380,161,52,37,97,231,141,20,759,1283,241,226,277,131,15,25,105,134,39,18,557,3,3237,31,9,0,205
3940,"Spokane Reservation and Off-Reservation Trust Land, WA",2017,128,200,39,46,7,14,214,109,121,478,718,79,75,64,35,26,31,57,43,24,22,402,22,1400,22,3,6,162
3955,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",389,31,21,3,5,1,2,8,17,6,92,127,13,18,22,6,3,3,6,4,1,2,80,5,153,0,20,12,119
3970,"Standing Rock Reservation, SD--ND",7817,359,532,315,181,86,379,498,281,211,1562,2713,355,301,522,254,67,103,221,231,115,97,1584,14,6026,0,0,20,173
3980,"Stewart Community, NV",299,29,6,0,0,0,4,22,1,3,119,101,7,3,5,4,3,7,24,4,9,0,36,0,224,0,7,1,31
3985,"Stewarts Point Rancheria and Off-Reservation Trust Land, CA",39,0,0,0,0,0,1,0,0,0,6,17,0,5,0,0,0,0,0,2,0,2,0,0,39,0,0,0,0
4000,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",2,1,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
4015,"Stockbridge Munsee Community and Off-Reservation Trust Land, WI",639,30,99,30,0,4,13,62,63,36,148,288,26,12,16,6,9,15,26,16,8,21,114,3,449,0,0,0,73
4030,"Sulphur Bank Rancheria, CA",3,4,2,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
4045,"Summit Lake Reservation and Off-Reservation Trust Land, NV",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4060,"Susanville Indian Rancheria and Off-Reservation Trust Land, CA",571,34,30,11,88,10,8,28,41,31,116,189,38,26,10,10,2,4,6,23,3,9,260,6,194,2,29,2,78
4075,"Swinomish Reservation and Off-Reservation Trust Land, WA",3179,340,442,137,92,41,56,57,188,230,974,1338,55,76,73,30,52,70,110,87,46,69,2272,24,574,29,6,14,260
4090,"Sycuan Reservation and Off-Reservation Trust Land, CA",126,1,0,1,0,0,0,0,1,2,27,52,0,9,11,2,4,4,3,6,0,0,27,0,38,1,0,29,31
4095,"Table Bluff Reservation, CA",113,0,0,0,0,0,1,7,4,6,22,30,2,6,8,0,0,1,4,3,2,0,13,0,76,0,0,0,24
4110,"Table Mountain Rancheria and Off-Reservation Trust Land, CA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4130,"Tampa Reservation, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4140,"Taos Pueblo and Off-Reservation Trust Land, NM",5110,474,510,281,294,193,622,384,393,583,849,2112,178,71,117,72,36,197,115,134,66,103,2714,7,1429,20,0,397,543
4170,"Tesuque Pueblo and Off-Reservation Trust Land, NM",1196,71,62,20,4,17,37,84,38,51,246,446,30,48,49,12,20,74,19,18,12,5,324,0,629,5,0,164,74
4180,"Timbi-Sha Shoshone Reservation and Off-Reservation Trust Land, CA--NV",16,2,1,4,0,0,6,7,2,3,4,9,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,2
4200,"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, AZ",10052,718,925,223,148,172,132,869,266,234,2183,3495,343,433,363,374,26,86,260,208,65,176,1268,51,7677,54,93,295,614
4225,"Tonawanda Reservation, NY",352,8,15,15,9,0,94,97,59,35,91,169,0,0,5,0,10,31,7,26,0,0,42,0,227,35,0,0,48
4235,"Tonto Apache Reservation and Off-Reservation Trust Land, AZ",102,19,2,2,0,0,0,16,21,0,19,51,6,0,3,5,0,2,12,4,2,0,16,0,80,0,0,4,2
4255,"Torres-Martinez Reservation, CA",2859,427,223,75,36,66,11,262,249,138,630,1186,99,128,114,39,38,24,72,110,49,34,260,29,87,10,0,1391,1082
4275,"Trinidad Rancheria and Off-Reservation Trust Land, CA",80,10,0,0,2,0,0,9,5,7,16,30,3,2,4,0,0,1,1,1,0,3,8,0,63,0,0,0,9
4290,"Tulalip Reservation and Off-Reservation Trust Land, WA",10296,599,691,472,282,107,201,203,425,279,2711,4294,336,238,348,195,115,225,424,397,235,310,6451,83,1889,294,35,279,1265
4300,"Tule River Reservation and Off-Reservation Trust Land, CA",1013,36,50,0,5,3,0,108,54,11,209,394,45,41,53,27,7,4,27,48,10,31,151,0,749,0,3,10,100
4315,"Tunica-Biloxi Reservation and Off-Reservation Trust Land, LA",323,9,20,7,18,2,0,5,8,14,73,122,5,15,26,11,0,0,42,8,0,3,66,11,193,0,2,7,44
4330,"Tuolumne Rancheria, CA",364,23,20,19,9,0,0,18,11,9,87,99,13,20,11,10,18,5,2,0,0,2,90,0,188,0,10,15,61
4345,"Turtle Mountain Reservation and Off-Reservation Trust Land, ND--MT--SD",7654,467,602,266,95,29,102,331,223,184,1620,2581,320,391,458,254,55,73,125,231,131,91,176,87,7165,42,0,0,184
4360,"Tuscarora Nation Reservation, NY",662,117,6,29,43,0,119,80,49,113,193,270,0,0,0,22,31,21,6,43,0,28,109,0,190,168,0,0,195
4375,"Twenty-Nine Palms Reservation and Off-Reservation Trust Land, CA",12,2,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,9,0
4390,"Uintah and Ouray Reservation and Off-Reservation Trust Land, UT",25222,1698,2621,703,555,496,537,900,956,790,6171,9198,945,1291,1201,655,273,305,599,667,359,396,21255,74,1965,153,85,482,1208
4405,"Umatilla Reservation and Off-Reservation Trust Land, OR--WA",2997,140,254,106,131,42,90,135,77,125,706,1089,76,103,88,67,58,62,39,92,44,65,1297,0,1291,41,13,62,293
4430,"Upper Lake Rancheria, CA",114,7,7,0,2,2,4,5,4,5,24,37,0,12,10,3,0,5,1,0,2,4,57,2,50,1,0,0,4
4445,"Upper Sioux Community and Off-Reservation Trust Land, MN",136,2,5,3,0,6,7,4,17,18,32,57,7,6,6,2,0,0,7,0,0,8,13,0,90,0,0,1,32
4455,"Upper Skagit Reservation and Off-Reservation Trust Land, WA",156,26,6,3,2,0,5,25,7,5,46,54,4,8,9,0,5,0,8,3,4,2,17,4,113,1,1,3,17
4470,"Ute Mountain Reservation and Off-Reservation Trust Land, CO--NM--UT",1751,69,128,114,4,0,41,247,53,78,346,501,123,172,119,40,28,24,0,18,0,4,104,6,1612,6,0,0,23
4500,"Viejas Reservation and Off-Reservation Trust Land, CA",237,27,10,4,0,0,0,13,10,9,53,96,1,9,8,4,0,3,5,10,12,0,64,0,113,0,0,3,57
4515,"Walker River Reservation, NV",1084,102,93,33,14,12,0,77,49,72,232,334,44,42,59,5,9,25,33,18,14,8,116,57,881,0,0,7,23
4530,"Wampanoag-Aquinnah Trust Land, MA",107,15,0,2,0,2,2,0,4,4,40,38,0,0,4,5,0,0,2,13,0,0,53,4,35,0,0,0,15
4545,"Warm Springs Reservation and Off-Reservation Trust Land, OR",3229,174,237,43,94,20,16,162,77,27,719,1188,77,141,275,52,25,41,82,92,7,52,157,0,2766,0,15,115,176
4560,"Washoe Ranches Trust Land, NV--CA",3303,276,356,70,22,5,0,100,211,145,909,1414,100,92,67,22,57,141,101,159,74,118,2650,40,43,46,2,174,348
4580,"Wells Colony, NV",67,14,3,1,1,0,2,3,7,2,18,31,0,1,0,0,2,1,3,2,1,0,14,0,49,0,1,2,1
4595,"White Earth Reservation and Off-Reservation Trust Land, MN",9877,739,957,561,363,327,636,607,567,479,2369,3654,366,502,404,276,170,200,251,308,138,208,4361,30,3700,50,13,35,1688
4610,"Wind River Reservation and Off-Reservation Trust Land, WY",26130,1693,2406,957,880,709,711,1253,1501,1212,6000,10221,835,1075,1077,596,312,530,719,623,510,532,16369,123,6963,170,28,762,1715
4625,"Winnebago Reservation and Off-Reservation Trust Land, NE--IA",2533,131,244,50,51,60,162,156,101,93,601,920,92,104,158,104,21,42,36,67,20,54,718,14,1625,37,0,18,121
4635,"Winnemucca Indian Colony, NV",32,4,20,0,3,0,0,5,10,4,8,18,0,0,0,2,0,0,1,0,8,0,5,0,18,0,0,1,8
4665,"Woodfords Community, CA",443,32,22,0,0,1,0,14,12,1,50,153,12,33,34,9,15,28,4,19,0,1,24,0,378,0,0,0,41
4680,"XL Ranch Rancheria, CA",19,0,4,1,0,2,0,2,2,2,4,7,0,0,0,0,1,0,0,1,0,0,3,0,12,4,0,0,0
4690,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",30386,970,1499,1184,1002,742,1309,1006,739,612,6685,11685,1117,1384,1274,944,419,342,818,893,239,427,11534,65,5476,431,164,5861,6855
4700,"Yankton Reservation, SD",6766,245,333,261,244,93,647,396,301,262,1356,2404,270,332,276,161,90,80,141,239,101,107,3367,12,2683,20,5,38,641
4708,"Yavapai-Apache Nation Reservation, AZ",1085,100,32,22,0,0,0,82,24,11,276,343,66,51,53,3,4,17,24,9,14,15,141,13,697,3,0,36,195
4710,"Yavapai-Prescott Reservation, AZ",551,40,19,1,0,0,1,5,3,11,94,133,24,46,42,24,2,0,5,5,7,0,76,0,215,0,0,55,205
4725,"Yerington Colony, NV",209,25,18,15,4,0,0,15,11,10,49,74,5,14,12,12,5,1,1,5,2,6,11,0,173,0,1,6,18
4740,"Yomba Reservation, NV",23,0,1,0,2,0,0,5,2,5,6,15,0,0,0,0,0,0,0,5,2,2,5,0,18,0,0,0,0
4755,"Ysleta del Sur Pueblo and Off-Reservation Trust Land, TX",1061,6,117,4,6,0,3,53,21,38,288,353,39,46,16,16,0,7,42,24,11,9,135,7,682,11,0,98,128
4760,"Yurok Reservation, CA",763,112,79,107,60,13,12,75,49,48,174,254,22,43,12,10,16,32,16,15,7,21,352,0,334,0,0,5,72
4770,"Zia Pueblo and Off-Reservation Trust Land, NM",899,42,71,35,20,4,12,89,26,20,171,302,39,37,14,22,5,1,12,39,5,14,3,0,890,1,0,0,5
4785,"Zuni Reservation and Off-Reservation Trust Land, NM--AZ",8134,277,583,230,73,146,65,776,120,84,1549,2797,307,299,442,150,52,50,327,201,80,150,89,0,7850,41,0,47,107
4910,"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area, KS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930,"San Felipe Pueblo/Santa Ana Pueblo joint-use area, NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
