AIANNHH,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B28002_013E,B09019_005E,B09019_008E,B19101_001E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E
0940,"Dresslerville Colony, NV",334,64,22,1,2,3,1,35,7,6,96,122,8,6,11,2,0,1,15,17,9,5,15,0,304,6,4,0,5
0955,"Dry Creek Rancheria and Off-Reservation Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0965,"Duck Valley Reservation and Off-Reservation Trust Land, ID--NV",1253,121,118,37,25,15,20,95,60,59,232,410,15,18,60,48,7,5,21,26,18,28,43,1,1104,3,0,75,27
0975,"Duckwater Reservation, NV",187,43,14,3,2,6,0,26,12,19,45,63,5,0,7,0,4,7,6,6,0,2,26,0,123,6,0,6,26
0990,"Eastern Cherokee Reservation, NC",7930,786,828,243,67,87,37,1003,558,525,2130,3096,239,417,203,225,155,42,264,327,127,105,1028,49,6243,120,0,17,473
1005,"Elko Colony, NV",829,156,50,30,0,0,3,68,31,59,167,361,9,10,6,23,3,13,11,31,10,18,34,0,740,20,3,8,24
1010,"Elk Valley Rancheria and Off-Reservation Trust Land, CA",91,1,4,5,3,0,0,8,4,15,15,25,0,0,0,1,2,0,0,0,0,2,33,0,49,0,0,6,3
1040,"Ely Reservation, NV",333,19,19,0,1,2,0,12,6,16,47,63,8,21,69,2,2,7,3,1,2,2,44,9,134,0,0,9,137
1055,"Enterprise Rancheria and Off-Reservation Trust Land, CA",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,"Ewiiaapaayp Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,"Fallon Paiute-Shoshone Colony and Off-Reservation Trust Land, NV",140,25,8,2,1,0,0,23,11,28,16,51,10,0,3,3,3,0,11,1,0,0,23,0,99,0,5,0,13
1075,"Fallon Paiute-Shoshone Reservation and Off-Reservation Trust Land, NV",721,56,69,34,7,0,15,55,28,53,170,246,28,19,22,22,10,2,16,16,20,9,68,7,583,0,0,1,62
